feature,accuracy
f12,0.7211166666666666
f89,0.7210333333333333
f73,0.7209966666666666
f87,0.7209766666666667
f0,0.7209533333333333
f13,0.7209533333333333
f38,0.72095
f92,0.72094
f74,0.7209266666666667
f52,0.7209266666666667
BASELINE,0.72092
f93,0.7209133333333333
f85,0.72091
f46,0.7209033333333333
f18,0.7208866666666667
f39,0.7208566666666667
f72,0.7208566666666667
f99,0.7208233333333334
f6,0.7208133333333333
f63,0.7208
f29,0.72073
f56,0.72073
f59,0.72072
f68,0.7207
f86,0.7205966666666667
f7,0.7205933333333333
f58,0.72059
f76,0.7205533333333334
f88,0.72055
f90,0.72054
f14,0.7204866666666667
f84,0.72044
f65,0.7203966666666667
f69,0.7203766666666667
f61,0.7203733333333333
f78,0.72036
f19,0.72036
f83,0.72033
f23,0.7202933333333333
f28,0.72026
f64,0.7202233333333333
f35,0.7201266666666667
f79,0.7201166666666666
f33,0.7201133333333334
f75,0.7199433333333334
f70,0.7199266666666667
f32,0.7198733333333334
f62,0.71985
f48,0.71985
f31,0.7198233333333334
f51,0.7198133333333333
f42,0.7197766666666666
f77,0.71973
f16,0.7197066666666667
f2,0.71969
f4,0.7196633333333333
f44,0.71962
f37,0.7196066666666666
f67,0.7195866666666667
f9,0.71949
f30,0.7193366666666666
f20,0.7192233333333333
f36,0.7191933333333334
f15,0.71913
f94,0.71882
f49,0.7188166666666667
f11,0.71877
f53,0.71872
f45,0.7184066666666666
f95,0.7183333333333334
f10,0.7172733333333333
f47,0.7170433333333334
f98,0.71702
f1,0.7168633333333333
f24,0.71662
f60,0.7165433333333333
f5,0.71592
f3,0.7142
f54,0.7136433333333333
f17,0.7133733333333333
f40,0.7127366666666667
f81,0.71208
f26,0.71204
f21,0.71147
f82,0.7096133333333333
f96,0.7072866666666666
f57,0.7052666666666667
f66,0.7046666666666667
f22,0.70458
f25,0.7036433333333333
f97,0.7007666666666666
f41,0.7002366666666666
f50,0.6992266666666667
f27,0.6930633333333334
f80,0.6899966666666667
f71,0.6893766666666666
f43,0.68791
f91,0.6878033333333333
f8,0.6872633333333333
f55,0.68376
f34,0.67675
